"recordType","settDate","publishingPeriodCommencingTime","fuelTypeGeneration","activeFlag"
"VD","2022-03-01","00:00:00","27819","Y"
"VD","2022-03-01","00:05:00","27792","Y"
"VD","2022-03-01","00:10:00","27763","Y"
"VD","2022-03-01","00:15:00","27709","Y"
"VD","2022-03-01","00:20:00","27698","Y"
"VD","2022-03-01","00:25:00","27690","Y"
"VD","2022-03-01","00:30:00","27704","Y"
"VD","2022-03-01","00:35:00","28170","Y"
"VD","2022-03-01","00:40:00","28341","Y"
"VD","2022-03-01","00:45:00","28513","Y"
"VD","2022-03-01","00:50:00","28518","Y"
"VD","2022-03-01","00:55:00","28439","Y"
"VD","2022-03-01","01:00:00","28186","Y"
"VD","2022-03-01","01:05:00","28118","Y"
"VD","2022-03-01","01:10:00","28082","Y"
"VD","2022-03-01","01:15:00","27963","Y"
"VD","2022-03-01","01:20:00","27809","Y"
"VD","2022-03-01","01:25:00","27603","Y"
"VD","2022-03-01","01:30:00","27490","Y"
"VD","2022-03-01","01:35:00","27433","Y"
"VD","2022-03-01","01:40:00","27381","Y"
"VD","2022-03-01","01:45:00","27320","Y"
"VD","2022-03-01","01:50:00","27330","Y"
"VD","2022-03-01","01:55:00","27312","Y"
"VD","2022-03-01","02:00:00","27168","Y"
"VD","2022-03-01","02:05:00","27341","Y"
"VD","2022-03-01","02:10:00","27305","Y"
"VD","2022-03-01","02:15:00","27335","Y"
"VD","2022-03-01","02:20:00","27300","Y"
"VD","2022-03-01","02:25:00","27169","Y"
"VD","2022-03-01","02:30:00","27141","Y"
"VD","2022-03-01","02:35:00","27074","Y"
"VD","2022-03-01","02:40:00","26964","Y"
"VD","2022-03-01","02:45:00","26881","Y"
"VD","2022-03-01","02:50:00","26821","Y"
"VD","2022-03-01","02:55:00","26789","Y"
"VD","2022-03-01","03:00:00","26760","Y"
"VD","2022-03-01","03:05:00","26656","Y"
"VD","2022-03-01","03:10:00","26553","Y"
"VD","2022-03-01","03:15:00","26540","Y"
"VD","2022-03-01","03:20:00","26463","Y"
"VD","2022-03-01","03:25:00","26415","Y"
"VD","2022-03-01","03:30:00","26407","Y"
"VD","2022-03-01","03:35:00","26384","Y"
"VD","2022-03-01","03:40:00","26374","Y"
"VD","2022-03-01","03:45:00","26342","Y"
"VD","2022-03-01","03:50:00","26302","Y"
"VD","2022-03-01","03:55:00","26246","Y"
"VD","2022-03-01","04:00:00","26219","Y"
"VD","2022-03-01","04:05:00","26102","Y"
"VD","2022-03-01","04:10:00","26389","Y"
"VD","2022-03-01","04:15:00","26362","Y"
"VD","2022-03-01","04:20:00","26336","Y"
"VD","2022-03-01","04:25:00","26334","Y"
"VD","2022-03-01","04:30:00","26323","Y"
"VD","2022-03-01","04:35:00","26385","Y"
"VD","2022-03-01","04:40:00","26396","Y"
"VD","2022-03-01","04:45:00","26353","Y"
"VD","2022-03-01","04:50:00","26283","Y"
"VD","2022-03-01","04:55:00","26235","Y"
"VD","2022-03-01","05:00:00","26347","Y"
"VD","2022-03-01","05:05:00","26920","Y"
"VD","2022-03-01","05:10:00","27462","Y"
"VD","2022-03-01","05:15:00","27493","Y"
"VD","2022-03-01","05:20:00","27567","Y"
"VD","2022-03-01","05:25:00","27536","Y"
"VD","2022-03-01","05:30:00","27588","Y"
"VD","2022-03-01","05:35:00","27741","Y"
"VD","2022-03-01","05:40:00","27979","Y"
"VD","2022-03-01","05:45:00","28141","Y"
"VD","2022-03-01","05:50:00","28218","Y"
"VD","2022-03-01","05:55:00","28634","Y"
"VD","2022-03-01","06:00:00","28867","Y"
"VD","2022-03-01","06:05:00","29444","Y"
"VD","2022-03-01","06:10:00","29848","Y"
"VD","2022-03-01","06:15:00","30299","Y"
"VD","2022-03-01","06:20:00","30741","Y"
"VD","2022-03-01","06:25:00","31216","Y"
"VD","2022-03-01","06:30:00","31730","Y"
"VD","2022-03-01","06:35:00","32304","Y"
"VD","2022-03-01","06:40:00","32664","Y"
"VD","2022-03-01","06:45:00","32972","Y"
"VD","2022-03-01","06:50:00","33366","Y"
"VD","2022-03-01","06:55:00","33704","Y"
"VD","2022-03-01","07:00:00","34119","Y"
"VD","2022-03-01","07:05:00","34523","Y"
"VD","2022-03-01","07:10:00","34912","Y"
